nama_penulis,rating,teks_ulasan,waktu,likes
Danilo,5.0,"Pelayanan bagus, ramah, tempatnya nyaman, terbaik. monggo kesini",a month ago,0
Realisca Agastha,5.0,"tokonya lengkap, harganya affordable, pelayanan ramah, the best laah pokonya",2 weeks ago,0
Danang Prasetya,5.0,"Pelayanan bagus,sat set semua dijelasin sampai detail. Bakal langganan disini.",2 months ago,0
Putri Anggitasari Husna,5.0,Salah satu rekomendasi tempat untuk beli laptop second di Jogja. Staffnya ramah dan informatif. Pilihan laptop juga banyak dan keluaran terbaru.,5 months ago,0
Ahmad Rodhi,5.0,"Pelayanannnya ramah, laptop dengan harga yang sangat terjangkau, dan tempat nyaman juga. Pokoke muantab poolll👌👌",2 months ago,0
Rahmawati Ratnadila,5.0,"Pelayanannnya ramah, staffnya sangat detail menjelaskan semua produknya. Rekomend untuk teman teman yg mau cari laptop kerja atau kuliah. Staffnya akan menjelaskan detail semua laptop yg kita butuhkan",5 months ago,0
Adhie Azzuri,4.0,"Pelayanan nya oke..mas e yg jaga mas e yg punya toko ramah...

Ac e adem tenan mas...",2 months ago,0
Ahmad Nur Aly,5.0,"Toko laptop gaming second recommend di Jogja, unit baru2. Masnya ngasih penjelasan lengkap.
jangan ragu beli di sini.",a month ago,0
Hasna Ningrum,5.0,"Beli laptop disini terbaik, pelayanannya sangat ramah masnya menjelaskan dengan sangat sabar tempatnya juga nyaman. 🌟🌟🌟",a month ago,0
nadia,5.0,"Tempatnya mudah ditemukan. Selain itu, banyak pilihannya dan pelayanannya top karena setiap pertanyaan selalu dijawab dengan jelas dan komplit. Thank you hero computer 🤘🏻🥰",3 months ago,0
Aprilia Safa nurmaulinda,5.0,Penjaga toko nya ramah dan menjelaskan spesifikasi sesuai kebutuhan pembeli dengan jelas,a week ago,0
Rendy Ady,5.0,"Laptopnya bagus,harga bersahabat,,
Recommended banget pokoknya,,",3 weeks ago,0
Rahva Triliana Agista,5.0,tempatnya nyamann!!! kualitas laptop yang dijual juga oke banget!!! ga nyesel beli disini!!!,a month ago,0
Aufa Rift,5.0,"pelayanan baik, harga terjangkau, kualitas ga diragukan, mantep pol rek",2 months ago,0
Usamah Assholihin,5.0,"Sangat recomended buat jual/beli laptop, khususnya area sleman dan sekitarnya. Pelayanannya baik dan ramah.",4 months ago,0
Coen Xenon,5.0,"""Pelayanan di sini sangat bagus dan interaktif! Stafnya ramah, sabar menjelaskan, dan membantu memilih laptop yang sesuai kebutuhan. Proses pembelian juga cepat dan nyaman. Sangat direkomendasikan!""",7 months ago,0
Fahmita Elma,5.0,"Sangat bagus,pelayanannya ramah dan laptopnya masih oke oke. Recommended buat orang jogja yg mau cari laptop.",3 months ago,0
Muhammad Hafiz,5.0,"Pelayanannya sangat oke dan benar-benar ramah, mereka juga sangat memberikan support apa yang kita butuhkan, saya merasakan hubungan bukan dengan pembeli dan penjual melainkan serasa saudara, karena mereka memang sangat ramah.",6 months ago,0
Muhammad Afkaar Riqqat,5.0,pelayanan sangat ramah dan stok laptop sangat melimpah cocok untuk maba yang sedang mencari laptop,a month ago,0
Patria Agiska Diyose,5.0,"Barang bagus, rekomended untuk yg cari laptop second, tempat nyaman, pelayanan ramah",2 months ago,0
Riski ananda p,5.0,"Pilihan laptop secondhand berkualitas,bagus.  Offline store nyaman dan sejuk. Top markotop👍👍👍 pokonya mantap",4 months ago,0
Azis Turindra,5.0,"Alhamdulillah pelayanannya memuaskan, bisa konsultasi dan bisa disesuaikan sesuai budjet, dan yang pasti laptopnya keluaran tahun muda",6 months ago,0
Ahmad Ali M,5.0,Toko laptop murah. Lengkap bergaransi. Pokoknya laptop mulus banget pelayanan mantap,2 months ago,0
Yusuf Muhammad,5.0,Recomend bgt buat cari laptop spek bagus dan murah,a month ago,0
imankend,5.0,"Service memuaskan, Terima jual beli laptop dengan harga yang cocok👍🏼. thanks hero laptop💯",5 months ago,0
Ermina Pradipta,5.0,"Rekomendasi tempat beli laptop di jogja ni, barangnya oke oke, yang jual ramah juga👍👍",a month ago,0
Bintang Akb,5.0,"beli disini memuaskan, cs nya enak bisa konsultasi online maupun offline",2 months ago,0
Dzaki Muh,5.0,Toko bersih rapih dan layanan nya ramah,a month ago,0
wahyu ismoyojati,5.0,"Sdh lama cari laptop second berkualitas, spek oke, tipis dan ringan. Rutin mantengin update story di IG, siapa tahu ada yg cocok.
Nah..hari ini liat story, ada yg memikat.
Staf di WA respon cepat..
Dikrim foto2 unit,,cocok lanjut bayar, transfer..
Sy minta paketkan sja, jogja MACET 😂
Terima kasih hero computer.
Sy tunggu kedatangannya..
Semoga Laptop sampai Aman, Lancar, Awet dan Amanah😁",6 months ago,0
Hilmi Miftahzen Reza,5.0,"Pelayanan ramah, own nya menjelaskan detail sesuai kebutuhan laptop yang pengen tak beli. Sukses berkas selalu, Hero Computer. Semoga rezekinya nular.",7 months ago,0
Ibnu Abdul aziez,5.0,"Pelayanan mantap, produknya rekomended, tempatnya bersih estetik",a week ago,0
Irma Novitasari,5.0,"Goods banget barangnya, serasa beli laptop baru harga second, makasih seller",4 months ago,0
Harjanto Official,5.0,"Pelayanan ramah, harga cocok",a month ago,0
zen oktaviani,5.0,"Pelayanan memuaskan, pilihan variasi laptop banyak, harga juga terjangkau. Mantab",5 months ago,0
Tashya Pembayun,5.0,"Pelayanannya ramah, proses transaksi cepat, dan barang sesuai deskripsi. Laptop dalam kondisi mulus, lengkap. Recommended banget untuk yang cari laptop berkualitas!",a month ago,0
Witri Nur Anisa,5.0,"Beli laptop buat kebutuhan admin store, pelayanan gercep dan bagus sih. Produknya juga okee, pokoknya rekomen bgt buat yg mau cari laptop second di Jogja!",7 months ago,0
Suwiknyo Arif,5.0,"Barangnya rekomended dan harga murah tpi bukan murahan, terbaik se jogja pokoknya!!",3 months ago,0
Daniel Alfarizqi,5.0,"pelayanan baik dan ramah, tempatnya bagus & nyaman, modelnya banyak, dapat bonus✨",a month ago,0
Reginna Naufal Daaniys Supriono,5.0,"Pelayanannya bagus, kalo Konsul dijelasin detail banget, rekomen bgt buat beli kesinii, apalagi buat yg ga begitu paham laptop pasti dibantu",a month ago,0
Joseph Gerung,5.0,pegawai nya ramah sekali terus dijelaskan secara detail semua jadinya mudah dimengerti dan laptop nya lengkap sekali,a week ago,0
Daffa Nurussofa,5.0,"pelayanan terbaik di Hero Computer, recommend untuk mahasiswa yang mau cari laptop second harga terjangkau 👍👍👍",4 months ago,0
Hakiki FaturrahmanAs,5.0,"mantabb barangnya keren2, beli bekas serasa beli baru. Dan pelayanannnyaa sangatt baguusss, mas mas nyaa gercepp dann ramahhh selaluu fastt responn, barang barangnyaa jugaa lengkap dan baikk banget🙏🏻🙏🏻🙏🏻",8 months ago,0
Faiz Ilham,5.0,"Pelayanan terbaik, penjualnya menjelaskan detail2 dengan bahasa yang mudah dipahami, rekomended buat teman teman yang mau beli laptop tapi bingung dengan spek yang terlalu banyak, bisa langsung datang ke toko",a year ago,0
orion reno,5.0,"Pelayanannya Ramah, bisa tanya tanya langsung juga sama spek laptop yang mau dibeli dan harganya terjangkau",7 months ago,0
Radhitya Putra Neindar,5.0,"banyak variasi laptop yang tersedia, penjaga toko juga ramah ramah dan baikkk sekali..",3 months ago,0
Dhewi Nurhayati,5.0,"Pelayanan oke, laptop lengkap dan sangat direkomendasikan untuk pembelian laptop second dg kualitas tinggi",6 months ago,0
Azzam Rabbani,5.0,"Pelayanan ramah, bebas tanya"", banyak pilihan laptop yg harganya sangat terjangkau. tempatnya enak nyaman",3 weeks ago,0
Akid Fauzi,5.0,Rekomen laptop sacond wajib borong sbelum stok habis✨,2 months ago,0
